,x,y,z,qx,qy,qz,qw,type,map,offset_x,offset_y,offset_z
0,-0.577039534435,-0.0715676235922,-1.08222056608,-0.0258346980042,-0.0150736794981,0.99528009949,0.0923194244179,1.0,1.0,506192.923759,3837565.22851,158.6
1,-1.55300357005,-0.583166031589,-0.978245113541,-0.00559231835215,-0.0357270630016,0.998266520145,0.0464355219984,1.0,1.0,,,
2,-2.4895260803,-1.05243109744,-1.08231181007,-0.0166152619077,-0.0221820088492,0.995914300112,0.0859453220794,1.0,1.0,,,
3,-3.45976244873,-1.44423905487,-0.986821907614,-0.0203650443255,-0.0104882458588,0.992169551715,0.122779649449,1.0,1.0,,,
4,-4.44419176708,-1.77064291642,-0.98711470514,-0.0202433581895,-0.0102008345869,0.994080527892,0.106254663374,1.0,1.0,,,
5,-5.43385808066,-2.14971357898,-0.98787122856,-0.0130832445518,-0.0145431520439,0.994045665203,0.107193940743,1.0,1.0,,,
6,-6.43618921977,-2.513564665,-1.08982347886,-0.0203564773845,-0.00429641708594,0.991759819635,0.126410501092,1.0,1.0,,,
7,-7.43156792629,-2.84768119674,-0.986751032231,-0.0175443700909,-0.0130232717377,0.991681164226,0.126850534056,1.0,1.0,,,
8,-8.52109055868,-3.20924444898,-0.982276606677,-0.0246531778319,-0.0156978165666,0.992898851585,0.115315523237,1.0,1.0,,,
9,-9.50206949866,-3.58616613129,-0.984890473653,-0.0268418524118,-0.00890928804066,0.994632817453,0.0995273730704,1.0,1.0,,,
10,-10.4714036563,-3.91624107244,-0.993847220562,-0.0129645843605,-0.00261110221796,0.993555750212,0.112570302115,1.0,1.0,,,
11,-11.4920232751,-4.27827657312,-1.09183328423,-0.0149784307492,-0.00476249252764,0.989519668931,0.143540203693,1.0,1.0,,,
12,-12.5418212229,-4.55761769061,-0.990860786594,-0.0159463970101,-0.0054760716964,0.982265520907,0.186735565706,1.0,1.0,,,
13,-13.5568170628,-4.83018061993,-0.991842998447,-0.0193843646897,-0.000388336556431,0.987990551999,0.153293068209,1.0,1.0,,,
14,-14.586317046,-5.14249566435,-0.977031664558,-0.0366132679784,-0.0147000076306,0.991985724894,0.120032079004,1.0,1.0,,,
15,-15.6306997473,-5.48810412922,-0.984561376331,-0.0135387441949,-0.0203826597511,0.994487330371,0.101961754193,1.0,1.0,,,
16,-16.7194141055,-5.84615548084,-0.983670113223,-0.0147845425041,-0.0211032092893,0.992604388827,0.118627986335,1.0,1.0,,,
17,-17.8657229407,-6.18632162206,-0.990135735446,-0.0155815653962,-0.00767465785559,0.98766460156,0.155617959346,1.0,1.0,,,
18,-19.0074616394,-6.49982588988,-0.985057175774,-0.0203817441092,-0.0138353192663,0.990383885411,0.136135696882,1.0,1.0,,,
19,-20.1518677802,-6.80808303653,-0.977969258009,-0.0183657174328,-0.0285444791243,0.993919880465,0.104743421519,1.0,1.0,,,
20,-21.274607952,-7.18095511962,-0.980684794106,-0.0183873173191,-0.0237720946459,0.995581391516,0.0889634022757,1.0,1.0,,,
21,-22.3899857568,-7.56107711295,-0.984376220613,-0.0219697503539,-0.014050488755,0.993796304243,0.108114844065,1.0,1.0,,,
22,-23.5266698382,-7.90635716213,-0.975952607695,-0.0245557345351,-0.0273492359351,0.993372576207,0.108903443637,1.0,1.0,,,
23,-24.5955694385,-8.2171573345,-0.983605785045,-0.0201228070517,-0.0171065758689,0.994801348994,0.0983499554575,1.0,1.0,,,
24,-25.5951938539,-8.54162017697,-0.983133883956,-0.0221934738177,-0.0165360101485,0.996863966147,0.0741366514355,1.0,1.0,,,
25,-26.6775411405,-8.92982154654,-0.984440719636,-0.0148616074295,-0.0196722414151,0.998734091368,0.0438446152066,1.0,1.0,,,
26,-27.6280818025,-9.26634037078,-0.98444761447,-0.0188883650307,-0.0166127612143,0.996321529261,0.0819185947238,1.0,1.0,,,
27,-28.7708016747,-9.60733975719,-0.982150802949,-0.0218368035256,-0.018381798301,0.993953135412,0.10603031693,1.0,1.0,,,
28,-29.728211333,-9.91487298286,-0.995556098918,-0.0207160329071,0.0079783384618,0.994983791373,0.0975420268419,1.0,1.0,,,
29,-30.8398210231,-10.2686314408,-0.987477466167,-0.0318124783447,0.00200721281909,0.991982963032,0.122285478996,1.0,1.0,,,
30,-31.944995664,-10.6336745524,-0.988102027855,-0.0222347166554,-0.00638938952801,0.993484576786,0.111593856305,1.0,1.0,,,
31,-33.085312035,-11.0161936479,-0.981148704251,-0.0206208788755,-0.0211401507999,0.992149010639,0.121524541004,1.0,1.0,,,
32,-34.1186671293,-11.3377174064,-0.985657337905,-0.0184833481189,-0.0140252697331,0.982658612547,0.18396659707,1.0,1.0,,,
33,-35.1253108963,-11.525845233,-0.882074484369,-0.0214566971174,-0.0184868179469,0.985419889631,0.167766173081,1.0,1.0,,,
34,-36.123580913,-11.7369647616,-0.974614084113,-0.0178190443713,-0.0345463658407,0.994789778424,0.0942460981052,1.0,1.0,,,
35,-37.1097575497,-12.0321040365,-0.968428181831,-0.0151310520799,-0.0456364515238,0.997335342165,0.054868759996,1.0,1.0,,,
36,-38.2218993598,-12.4154723215,-0.875387473692,-0.0194220682541,-0.0320002396217,0.999147340562,0.01741722641,1.0,1.0,,,
37,-39.3721817825,-12.7382522084,-0.875768499937,-0.0189168515293,-0.0317204632429,0.998620710774,0.0373181049056,1.0,1.0,,,
38,-40.4602289591,-13.0259545995,-0.882421219696,-0.00962984002747,-0.0261670351165,0.999410232356,-0.0200434506887,1.0,1.0,,,
39,-41.4254367109,-13.3238427825,-0.880944437106,-0.0136819345097,-0.0263628474957,0.999468368006,-0.0134456794104,1.0,1.0,,,
40,-42.5589671529,-13.6572892283,-0.881586298189,-0.0261242873908,-0.0173931492983,0.99945386615,-0.0103426013698,1.0,1.0,,,
41,-43.5231321132,-13.9385683809,-0.883101896554,-0.0163225442809,-0.021279043647,0.999037897041,-0.0346995262891,1.0,1.0,,,
42,-44.671471814,-14.3200576185,-0.783738850943,-0.0161597292602,-0.0204489428793,0.997400991844,-0.0671711645983,1.0,1.0,,,
43,-45.6643440144,-14.6653713001,-0.781767929211,-0.0161266704297,-0.0237159728548,0.997308248156,-0.0674814144155,1.0,1.0,,,
44,-46.6069151677,-15.0059117404,-0.781099626498,-0.0220461453691,-0.021379643616,0.997997437235,-0.0552991282475,1.0,1.0,,,
45,-47.5595802158,-15.3221945844,-0.790488623925,-0.0086094362482,-0.0129528116416,0.998725632933,-0.04801262752,1.0,1.0,,,
46,-48.5145155759,-15.624060345,-0.788703351038,-0.0145610050848,-0.0125940604661,0.9993792684,-0.0295032992097,1.0,1.0,,,
47,-49.6782457741,-15.9449228232,-0.78838503961,-0.015122466856,-0.0126781077553,0.999756695235,-0.00985529873446,1.0,1.0,,,
48,-50.7750717209,-16.28977458,-0.688606124276,-0.0158220492835,-0.0120470895072,0.999127343711,-0.0367298439917,1.0,1.0,,,
49,-51.8195092313,-16.6614398835,-0.787512261307,-0.0161714837926,-0.0136631178136,0.999541491353,-0.0216473875285,1.0,1.0,,,
50,-52.7570353308,-17.0240146492,-0.88899193676,-0.0171762979699,-0.0102178483862,0.999759049303,-0.00907819908341,1.0,1.0,,,
51,-53.7678597354,-17.3324589356,-0.887803282164,-0.0179531606498,-0.0119649631298,0.999601269767,-0.0182160687212,1.0,1.0,,,
52,-54.8870561012,-17.6980002301,-0.881771171649,-0.0264359389401,-0.0175409910667,0.997892382133,-0.0566060813532,1.0,1.0,,,
53,-55.8560668057,-18.0679919185,-0.885369412831,-0.015308592246,-0.0181322752124,0.998051871077,-0.0577003486834,1.0,1.0,,,
54,-56.9872251381,-18.4859866741,-0.886435432663,-0.0188867276091,-0.0140987760178,0.99862348424,-0.046857792939,1.0,1.0,,,
55,-57.9881031296,-18.7060606124,-0.784612676442,-0.0170051244867,-0.0182664884383,0.999308645438,-0.027557073389,1.0,1.0,,,
56,-58.9913514568,-18.9432553432,-0.588173899055,-0.0156072191103,-0.0127867285257,0.999681771507,-0.0151416644572,1.0,1.0,,,
57,-59.9679607599,-19.2333236885,-0.786311857131,-0.0159482023819,-0.0158895346824,0.999625197116,-0.015576996452,1.0,1.0,,,
58,-61.0708382893,-19.5813536763,-0.682740454772,-0.0200819634461,-0.019874371944,0.997566954525,-0.0637330002782,1.0,1.0,,,
59,-62.1543901444,-19.9917833996,-0.686733051202,-0.0269959805546,-0.00857050200733,0.997592071527,-0.0633073641516,1.0,1.0,,,
60,-63.1191947604,-20.3030486283,-0.58529142536,-0.0163358095448,-0.0178450044955,0.996257430243,-0.0829809003718,1.0,1.0,,,
61,-64.061861882,-20.6389774631,-0.587641564879,-0.01169716255,-0.0163429839312,0.99595631085,-0.0875620359708,1.0,1.0,,,
62,-65.1441180981,-21.0547973099,-0.586136069068,-0.00615796283723,-0.0215250098449,0.995615908672,-0.0908169358898,1.0,1.0,,,
63,-66.0612015972,-21.4468579982,-0.68917511313,-0.0143703735901,-0.0121676671379,0.997296570188,-0.0710281023945,1.0,1.0,,,
64,-67.1849328815,-21.8305254197,-0.589835611813,-0.0142904772001,-0.0107472398097,0.999298390464,-0.0329090551879,1.0,1.0,,,
65,-68.1570463699,-22.1162469687,-0.588561736624,-0.0126966638737,-0.0138074393132,0.999762969885,0.0110523025971,1.0,1.0,,,
66,-69.3155220792,-22.3953434331,-0.588556992378,-0.015202027102,-0.0122108079474,0.99979856104,0.00475729788531,1.0,1.0,,,
67,-70.3031181591,-22.6221660193,-0.585791358801,-0.0109614993193,-0.019789452789,0.998262984571,-0.054398866964,1.0,1.0,,,
68,-71.2811617456,-22.9461178014,-0.4789747032,-0.0118284610993,-0.0303345214401,0.996048473898,-0.0826277311999,1.0,1.0,,,
69,-72.2809012388,-23.312493471,-0.580291329774,-0.0106356858023,-0.0287594830028,0.99270616322,-0.116594373067,1.0,1.0,,,
70,-73.3311723841,-23.7463139262,-0.582711769753,-0.00400483316286,-0.0279604846405,0.99547114548,-0.0907709817428,1.0,1.0,,,
71,-74.3658036545,-24.0443908014,-0.579045305594,-0.0169477670876,-0.0276842725392,0.996507913977,-0.0769306936535,1.0,1.0,,,
72,-75.3564896211,-24.3348450207,-0.480749556178,-0.0223857650308,-0.0226663777749,0.989100163084,-0.143756670208,1.0,1.0,,,
73,-76.4561237878,-24.7593544753,-0.480379712992,-0.0157329510058,-0.0263179449451,0.992034013601,-0.122181651177,1.0,1.0,,,
74,-77.514102237,-25.0574184328,-0.479117680604,-0.0230766742334,-0.0240151469952,0.998039326595,-0.0529928522709,1.0,1.0,,,
75,-78.5394948169,-25.3013222154,-0.487044472054,-0.0142278402644,-0.0161605254355,0.993903705638,-0.108128765355,1.0,1.0,,,
76,-79.5377762149,-25.6204418942,-0.386142666382,-0.0110537652808,-0.0193397205328,0.987351761319,-0.156972255201,1.0,1.0,,,
77,-80.5634681434,-25.9479635401,-0.481543493372,-0.00887497678664,-0.0276230732246,0.994402394696,-0.101597628103,1.0,1.0,,,
78,-81.5328722076,-26.2208410764,-0.48513583438,-0.014362715132,-0.0192827869258,0.993643030585,-0.109979153986,1.0,1.0,,,
79,-82.5043072355,-26.4499166788,-0.384588434312,-0.0109978779255,-0.0217780528672,0.997739052855,-0.0626222444697,1.0,1.0,,,
80,-83.6449161897,-26.7049930254,-0.373875997845,-0.0121817601481,-0.0378085019367,0.993654767276,-0.105225117581,1.0,1.0,,,
81,-84.7649299957,-27.050713388,-0.375062060941,-0.0129992844049,-0.0355838462949,0.985568157447,-0.164985500921,1.0,1.0,,,
82,-85.875459199,-27.3543154589,-0.382489939556,-0.0113232300102,-0.0250157748969,0.990476074239,-0.134919019523,1.0,1.0,,,
83,-86.9628508619,-27.7549332502,-0.389049128681,-0.0144758703069,-0.0134538310573,0.978325066467,-0.206129832705,1.0,1.0,,,
84,-87.9915422397,-28.2633226444,-0.400994138293,-0.0186959738669,0.0101578195636,0.98053935386,-0.195166223498,1.0,1.0,,,
85,-89.0636891025,-28.722463948,-0.409488569701,-0.0139239574373,0.0279865945503,0.993426481243,-0.110121298125,1.0,1.0,,,
86,-90.1764190294,-29.0911411242,-0.406053196524,-0.0158076684642,0.024400361056,0.999395322706,-0.0190716793216,1.0,1.0,,,
87,-91.2908701865,-29.3888410154,-0.287803891648,-0.0162766906537,-0.0135015535393,0.997106856434,-0.0730116035001,1.0,1.0,,,
88,-92.4406525842,-29.7762011434,-0.279993140741,-0.0175140291726,-0.0258050763616,0.997916797502,-0.0564749686089,1.0,1.0,,,
89,-93.3917511834,-30.1084589431,-0.280379373649,-0.015338902091,-0.0263638144672,0.997902359872,-0.0571012042857,1.0,1.0,,,
90,-94.5361422383,-30.4968435707,-0.28599358675,-0.0125931328049,-0.0185536470256,0.998574205676,-0.0484430691401,1.0,1.0,,,
91,-95.4803659934,-30.8359515808,-0.290331697353,-0.0152185438013,-0.00921701750551,0.999459407611,-0.0276466101293,1.0,1.0,,,
92,-96.6222158418,-31.145773865,-0.288373841428,-0.0217173636505,-0.00880938818175,0.998667799366,-0.0459714836052,1.0,1.0,,,
93,-97.6067209867,-31.4809704215,-0.284757175334,-0.0151775494559,-0.0191447641419,0.999101737238,-0.0346242494123,1.0,1.0,,,
94,-98.5802085098,-31.7754776562,-0.291516980975,-0.0156511234391,-0.00646080470785,0.999853411868,-0.00254069168683,1.0,1.0,,,
95,-99.5498696152,-32.0334931996,-0.18744794194,-0.012211280142,-0.0161534773531,0.999784926998,-0.00447767289337,1.0,1.0,,,
96,-100.697255045,-32.3360782684,-0.178506878236,-0.0216725227978,-0.0257639398699,0.998561301739,-0.0417354504878,1.0,1.0,,,
97,-101.70419742,-32.6722479471,-0.18414035591,-0.012488121212,-0.021743709484,0.997691896799,-0.0631041756849,1.0,1.0,,,
98,-102.707296904,-32.9772169016,-0.183845144209,-0.0195741288683,-0.0182255628304,0.998179315636,-0.0540623360183,1.0,1.0,,,
99,-103.711579428,-33.2619379882,-0.189948650098,-0.00854562002161,-0.0139576108873,0.997768845923,-0.0647262511008,1.0,1.0,,,
100,-104.669981847,-33.5797036284,-0.186702420805,-0.0125829136838,-0.0175162469574,0.994914809451,-0.0983838061411,1.0,1.0,,,
101,-105.630716288,-33.9017860962,-0.182976484659,-0.0136437023091,-0.0231192401766,0.994778394527,-0.0984646936841,1.0,1.0,,,
102,-106.594417583,-34.2237346836,-0.0794245410295,-0.0165823952018,-0.027368317614,0.993431879046,-0.109859460476,1.0,1.0,,,
