,x,y,z,qx,qy,qz,qw,type,map
54,-110.572147797,-46.046096182,0.409256942488,-0.0165583816698,0.00423912361773,0.720561262838,0.693180579881,1.0,1.0
55,-110.976910083,-45.1031289489,0.41072839508,-0.017798125855,0.000184166974012,0.69155587702,0.722103636439,1.0,1.0
56,-111.301374229,-44.0779447221,0.408114549499,-0.0141942206316,0.00508164148461,0.651225541223,0.758734469679,1.0,1.0
57,-111.507108423,-43.0166003699,0.401475652828,-0.00221951295554,-0.00187476973322,0.650649754835,0.759372408989,1.0,1.0
58,-111.72365629,-41.994304443,0.407553061898,-0.0125693752052,0.000233952007109,0.629639861988,0.776785427431,1.0,1.0
59,-111.814262729,-40.9800643461,0.506320648106,-0.0110869591967,0.0073977335498,0.603272446712,0.797423794423,1.0,1.0
60,-111.800747057,-39.9619428163,0.510570460886,-0.0171996461811,0.00063787225573,0.572347722796,0.819830378494,1.0,1.0
61,-111.683349919,-38.9234750879,0.508417486116,-0.0138402685118,0.00790924330468,0.543017937268,0.839569777114,1.0,1.0
62,-111.493067082,-37.849279788,0.504513289635,-0.00737320930825,0.00827848962072,0.520036997078,0.854071790931,1.0,1.0
63,-111.180716759,-36.8746176942,0.508336536787,-0.0133401148237,0.00508715518311,0.466597942175,0.884354296957,1.0,1.0
64,-110.690837861,-35.8775989257,0.508090996335,-0.0118580741885,0.00867004334746,0.364344270963,0.931148467561,1.0,1.0
65,-110.104991969,-35.0085777681,0.507387937947,-0.0109401953051,0.00672275668999,0.32344522671,0.946159765572,1.0,1.0
75,-103.485900894,-26.9534708714,0.506025979655,-0.00748524657882,0.0107199343667,0.303583627849,0.952715085948,1.0,1.0
85,-96.7071225579,-19.1676929417,0.510048929819,-0.0112431324934,0.0165682810636,0.220384118548,0.975207631393,1.0,1.0
95,-90.1431888075,-11.0632337353,0.609609252857,-0.0133051885047,0.0114467558237,0.321413947467,0.946776118263,1.0,1.0
111,-79.3508253909,1.63043672316,0.617592809516,-0.0268588578221,0.00646113436354,0.235713562888,0.971429859419,1.0,1.0
112,-78.4995778305,2.30955699964,0.610607382456,-0.0148540315642,0.00900069746203,0.150257094519,0.98849438579,1.0,1.0
113,-77.5823978623,2.80216898726,0.611988786712,-0.0153721809995,0.0123585220264,0.0874391418347,0.995974577718,1.0,1.0
