,x,y,z,qx,qy,qz,qw,type,map
0,-4.32043347076,5.29139127259,-0.892550751819,-0.0136863035526,-0.00120402625717,0.898772912567,0.438199140862,1.0,1.0
1,-4.94206561095,6.09572936834,-0.898170900006,0.00182186405636,-0.00800881776925,0.902532161313,0.430544117885,1.0,1.0
2,-5.62889670505,6.98034917574,-0.893589243629,-0.0133684742412,0.00155098090915,0.898075034637,0.439636338939,1.0,1.0
3,-6.32685453967,7.74712668415,-0.896029330726,-0.0156506905163,0.0144684573787,0.898164139118,0.439143369333,1.0,1.0
4,-7.00426597789,8.55852146468,-0.896093975112,0.00325155310209,-0.0171804154226,0.870533664098,0.491798129724,1.0,1.0
5,-7.6399424324,9.50364574148,-0.784221189494,0.00504379844041,-0.0470977230172,0.8756276616,0.480658467964,1.0,1.0
6,-8.20262646609,10.4047849464,-0.785835988685,-0.00854068756114,-0.0283660329655,0.866982469852,0.497457356765,1.0,1.0
7,-8.66129381438,11.3747528673,-0.795107018825,0.00301854270539,-0.0211457679559,0.845350935424,0.533784170687,1.0,1.0
8,-9.07548552937,12.3748739084,-0.689182227275,-0.0152270750673,-0.0086552662575,0.851886568395,0.523433374117,1.0,1.0
9,-9.55443419477,13.3600665551,-0.689840194845,-0.0094820611965,-0.016582657397,0.857597934178,0.513965844471,1.0,1.0
10,-10.0427305742,14.3668833704,-0.682494839324,-0.0148135225379,-0.0278592498925,0.869842374494,0.492319677933,1.0,1.0
11,-10.6057905572,15.270488778,-0.685684842823,-0.0181105396988,-0.0139672847003,0.890885027421,0.453652720952,1.0,1.0
12,-11.256564634,16.1140375069,-0.595613537118,-0.00307248384838,-0.00827475922491,0.912661812339,0.408620244848,1.0,1.0
13,-11.9980406509,16.9171082939,-0.59266511753,-0.00386667750474,-0.0141148696971,0.937688592532,0.347168435625,1.0,1.0
14,-12.878543884,17.5636770574,-0.59355444437,-0.00970222036605,-0.00534117659448,0.97034334655,0.241476973146,1.0,1.0
15,-13.86637515,18.1028700833,-0.598438048158,-0.00985306394642,0.00576054673719,0.982786455545,0.18439228842,1.0,1.0
16,-14.9329131161,18.5149141952,-0.50242089585,-0.00814076954101,0.0136520763281,0.985218733617,0.170561999323,1.0,1.0
17,-16.0276534948,18.8863514263,-0.599823888749,-0.0128265884012,0.0118184034649,0.986826143402,0.160841433308,1.0,1.0
18,-17.1216064776,19.1758861503,-0.487871425572,-0.0117461609073,-0.0156261153396,0.999390394503,0.0289256218168,1.0,1.0
19,-18.1492807749,19.141233491,-0.592824116786,-0.0168630132709,-0.00506263551456,0.990160774031,-0.138822368787,1.0,1.0
20,-19.2755533194,18.8795166421,-0.590285824954,-0.00930870045713,-0.0133396317752,0.983211024254,-0.181745657737,1.0,1.0
21,-20.3466542151,18.4920071728,-0.49072641435,0.00180382148558,-0.0161793314813,0.968324140497,-0.249165275252,1.0,1.0
