,x,y,z,qx,qy,qz,qw,type,map
0,-4.469095317,0.154546186411,0.106879028394,-0.0111112658817,-0.00386586904359,0.912675615123,0.408515380845,1.0,1.0
1,-5.45484488206,-0.0241149217466,0.109314763222,-0.0141192011822,-0.00630537330486,0.916678437957,0.399326347504,1.0,1.0
2,-6.53892401717,-0.161626765491,0.110027204721,-0.00968470980502,-0.0143700846314,0.912715537492,0.408227944518,1.0,1.0
3,-7.5379283434,-0.261384771641,0.11526800484,-0.00964210436458,-0.0254587946136,0.942508237245,0.333072217883,1.0,1.0
4,-8.53138412402,-0.415406759934,0.109598120535,-0.0104346606411,-0.0117575763049,0.954866957736,0.29661754884,1.0,1.0
5,-9.58749918654,-0.532077470137,0.110884472239,-0.0108200558689,-0.0141830891938,0.960184598421,0.278796168065,1.0,1.0
6,-10.672668291,-0.646718929555,0.116249169019,-0.00385784196325,-0.0294413872788,0.985345560919,0.167965613585,1.0,1.0
7,-11.6636939242,-0.788494150094,0.11034028537,-0.00683879217899,-0.015909274219,0.991196519708,0.131261514671,1.0,1.0
8,-12.7226042468,-0.926482311952,0.107514002098,-0.00939377362509,-0.00836144714414,0.99376290574,0.110802212948,1.0,1.0
9,-13.8065882267,-1.03914733124,0.115321499126,-0.00719479241165,-0.0241903319456,0.998423192772,0.050141708558,1.0,1.0
10,-14.8634108691,-1.20210826208,0.110970120526,-0.00729698544459,-0.0164075445593,0.998873542342,0.0439225784171,1.0,1.0
11,-15.9254896541,-1.32375124144,0.110132686108,-0.00587504515009,-0.0154899884423,0.998442323027,-0.0532773093385,1.0,1.0
12,-16.9589133839,-1.50787339403,0.108370149659,-0.00928843920628,-0.0104833979499,0.99943336764,-0.0306066481832,1.0,1.0
13,-18.0324796863,-1.6255013281,0.103727492745,-0.0072226863839,-0.00290005303741,0.999962570335,-0.00377894463564,1.0,1.0
14,-17.7305166853,-1.31937960462,-6.19634373163,-0.00573755335612,-0.00359229223375,0.999609134352,0.0271247937936,1.0,1.0
15,-17.8908307458,-1.25682491692,-7.29307228204,-0.00835373770128,-0.00819400885353,0.999428341346,0.0317185088014,1.0,1.0
16,-18.7590001561,-1.06504535481,-7.90424380201,-0.0239863839941,0.0287151930312,0.999284772235,0.00548042440656,1.0,1.0
17,-19.6899727546,-0.996840219657,-7.39734060387,-0.0148361384485,0.0053854331827,0.998869692218,0.0448355224564,1.0,1.0
18,-20.5425699896,-1.19807724304,-6.90392433883,-0.0106693623596,0.0185632170998,0.993682766097,0.110164114116,1.0,1.0
19,-21.4069659106,-1.2547301144,-6.39904933332,-0.013138494203,0.00988679802186,0.989014049627,0.146904189308,1.0,1.0
20,-22.3279865064,-1.39559656425,-5.9942849864,-0.016738031328,0.00322631373993,0.981317931103,0.191636497835,1.0,1.0
21,-23.2834025503,-1.50824597352,-5.69544478672,-0.0149633859839,0.00471216174071,0.97468179929,0.22304547237,1.0,1.0
22,-23.6743554555,-1.58393118618,-4.6911536997,-0.0165430352704,-0.00381597026047,0.975335520254,0.220073599702,1.0,1.0
23,-23.7496929983,-1.68258432045,-3.69189843551,-0.0157783664576,-0.00281595971608,0.973414168663,0.228490633877,1.0,1.0
24,-24.6543429677,-1.84167499937,-3.19249080158,-0.0121749490792,-0.00556027700563,0.981913715674,0.188855259143,1.0,1.0
25,-25.6968308794,-1.93518819155,-3.08439865662,-0.00699187089591,-0.0253887773834,0.993008881253,0.115064701267,1.0,1.0
26,-26.7392026991,-2.12547696077,-2.89089859848,-0.00293556216695,-0.0163629761484,0.991712643119,0.127395717999,1.0,1.0
27,-27.7418879879,-2.23773176223,-2.88614475812,-0.0137572784436,-0.0172873525798,0.992044078502,0.123937206037,1.0,1.0
28,-28.7818689145,-2.33259577155,-2.7790865905,-0.0124946255669,-0.0301039261586,0.99946849718,0.000600920772082,1.0,1.0
29,-29.814463549,-2.49577247735,-2.69263132828,-0.0100127000632,-0.00797098873506,0.999706120848,0.0205883732915,1.0,1.0
30,-30.8231482606,-2.60230942967,-2.69385396832,-0.0109731418973,-0.00524003931898,0.999806528212,-0.0154608631858,1.0,1.0
31,-31.8204097108,-2.78392764192,-2.59256576732,-0.00710366554215,-0.0100993824327,0.997688725341,-0.066818767852,1.0,1.0
32,-32.8194180628,-2.9434452488,-2.49424574993,-0.00315776897094,-0.00915903452284,0.999249690984,-0.0374992753324,1.0,1.0
33,-33.8195320859,-3.04118591575,-2.39097247175,-0.00828461795205,-0.0123102413287,0.997454146402,-0.0697499024341,1.0,1.0
34,-34.8110811641,-3.23115979202,-2.39375561953,-0.00457739719015,-0.00927462335421,0.996430654168,-0.0837793544479,1.0,1.0
35,-35.8082969778,-3.36740204714,-2.29398214996,-0.00466605118934,-0.00882218300434,0.99776761639,-0.0660316646566,1.0,1.0
36,-36.8971723679,-3.49012706833,-2.19081772009,-0.0124814712544,-0.00998624540812,0.999680604365,-0.0195749082698,1.0,1.0
37,-38.0134296664,-3.60375026296,-2.18683937544,-0.00861638841523,-0.0192193915178,0.995775007921,-0.0893784450513,1.0,1.0
38,-39.1060655819,-3.79109519889,-2.18985348642,-0.00701256247787,-0.0149293449202,0.998747981934,-0.0472271871974,1.0,1.0
39,-40.1416413027,-3.9322937912,-2.09082160425,-0.0096410953868,-0.0119900767474,0.994169612489,-0.106724265952,1.0,1.0
40,-41.129909334,-4.11342691957,-2.09756095518,-0.00692792816917,-0.000959929983272,0.997757824659,-0.0665612926369,1.0,1.0
41,-42.1787050207,-4.33790499302,-2.11429726921,-0.00494846272364,0.0351334231656,0.997612012214,-0.0592573065566,1.0,1.0
42,-43.2634176329,-4.52042511235,-2.00415200825,-0.0186181874962,0.025063286968,0.998286948154,0.0494809446784,1.0,1.0
43,-44.3482253585,-4.64598688632,-2.0065750758,-0.0103017374756,0.0244060961622,0.995783287114,0.0878285931785,1.0,1.0
44,-45.4202591285,-4.74796646711,-1.894988074,-0.0160071642213,0.00337564622586,0.987725794414,0.155338761279,1.0,1.0
45,-46.5280706351,-4.75587483545,-1.89098890273,-0.0134108405997,-0.00796519238798,0.990281002147,0.138203624595,1.0,1.0
46,-47.6387698272,-4.85471963232,-1.89101429667,-0.0154976136233,-0.0060753331189,0.990252473891,0.138285763015,1.0,1.0
47,-48.6439188394,-4.91866081837,-1.8915770856,-0.0138562390189,-0.00655155093509,0.993249597289,0.114979647352,1.0,1.0
48,-49.6784771739,-5.06155983275,-1.88998616243,-0.0117658870132,-0.0117276999034,0.999369578829,0.0313762628331,1.0,1.0
49,-50.7141051372,-5.26556468859,-1.89090548468,-0.0135197793191,-0.00857814237634,0.998042230428,0.0604593857234,1.0,1.0
50,-51.770145442,-5.34560028786,-1.79679363149,-0.00355270553632,-0.00408535113143,0.995052013778,0.0992077520429,1.0,1.0
51,-52.8388443375,-5.41838409133,-1.79284962627,-1.78627354844e-05,-0.0139128949272,0.998855411673,0.0457634964403,1.0,1.0
52,-53.8388494505,-5.56027966924,-1.78942103589,-0.00485742681863,-0.0172071087549,0.999011676878,0.0406938603912,1.0,1.0
53,-54.8361959505,-5.7005357013,-1.78995313021,-0.0105807601542,-0.0125648282074,0.999113369117,0.0387640072444,1.0,1.0
54,-55.8437133962,-5.82755908755,-1.78884583213,-0.00623097173734,-0.0174634810775,0.998318381421,0.0549236846703,1.0,1.0
55,-56.8756251576,-5.97091444939,-1.79304885282,-0.0142003275582,-0.00332482914212,0.994445653636,0.104235973502,1.0,1.0
56,-57.9210717355,-5.99190713858,-1.7951596183,-0.00738990156362,-0.00431447796996,0.987817433781,0.155381762615,1.0,1.0
57,-59.0150793369,-5.98419832144,-1.79146539533,-0.00922314771779,-0.0105221132656,0.99285857046,0.118473953861,1.0,1.0
58,-60.0816763466,-6.05503659891,-1.7939703188,-0.0090764682393,-0.0055211372997,0.991895374196,0.12661240625,1.0,1.0
59,-61.0803907645,-6.14376758474,-1.78436246605,-0.00863034246893,-0.0236525968051,0.99958110279,0.0142720285254,1.0,1.0
60,-62.0954906277,-6.42625425557,-1.78786898342,-0.00916557784725,-0.017226352138,0.996238096951,-0.0844328085432,1.0,1.0
61,-63.0354912167,-6.81889352172,-1.78696676837,-0.0053096113816,-0.0203833413942,0.990268077539,-0.137569844181,1.0,1.0
62,-63.9425425822,-7.24074145283,-1.78589864482,-0.0201739573522,-0.016089452794,0.979815216608,-0.198232899027,1.0,1.0
63,-64.8193034579,-7.76649406744,-1.78447221478,-0.00858618275321,-0.0230587018493,0.970035250153,-0.241715095091,1.0,1.0
64,-65.6809893235,-8.3937328361,-1.78359485888,-0.015293693145,-0.0228180371806,0.947176777379,-0.319533398133,1.0,1.0
65,-66.4656293633,-9.09609271173,-1.7807315148,-0.00589554154154,-0.0294041829358,0.930193784868,-0.365841713327,1.0,1.0
66,-67.1841234978,-9.84672138206,-1.7840120915,-0.0108377188098,-0.0237979119736,0.920835549472,-0.389073378767,1.0,1.0
67,-67.9431293678,-10.5918933234,-1.69338974445,0.00254014406299,-0.0116959386308,0.949890948317,-0.312352267468,1.0,1.0
68,-68.7166548137,-11.2739992545,-1.69097623636,-0.0101365533079,-0.0132352862116,0.920964681621,-0.389289266089,1.0,1.0
